abandon[2'b9nd2n]vt. 放弃
denomination[din0mi'nei62n]n. 货币的面额
dense[dens]a. 浓密的；密集的
density['densiti]n. 密度
dentist['dentist]n. 牙医
deny[di'nai]v. 拒绝给予；拒绝(某人的)要求
departure[di'pa:t62]n. 脱离
dependable[di'pend2bl]a. 可依靠的
depict[di'pikt]vt. 描写
deplete[di'pli:t]vt. 耗尽
deposit[di'p0zit]n. 矿床
deposit[di'p0zit]n. & v. 沉积；存储
depositor[di'p0zit2]n. 储户
depot['dep2u]n. 货栈；仓库
depreciation[dipri:6i'ei62n]n. 贬值；折旧；跌价
depredation[depri'dei62n]n. 掠夺
depression[di'pre62n]n. 经济萧条
depression[di'pre62n]n. 萧条；沮丧
deprivation[depri'vei62n]n. 夺去；剥夺
derive[di'raiv]vt. 取得
derive...from[]从...借鉴过来
derrick['derik]n. 铁架塔
desalination[]n. 脱盐
descend[di'send]vi. 是...后裔；祖传
descendant[di'send2nt]n. 后代；派生物
descent[di'sent]n. 下降；下倾
desert['dez2t, di'z2:t]vi. 放弃
deserted[di'z2:tid]a. 无人的
designate['dezigneit]vt. 指派
designation[dezig'nei62n]n. 表明，指定
desirable[di'zai2r2bl]a. 令人想要的；值得有的
desolate['des2lit]a. 荒凉的，荒芜的
desperate['desp2rit]a. 极其严重的；绝望的
despite[dis'pait]prep. 尽管
destined[]a. 命中注定的；预定的
destroy[dis'tr0i]vt. 破坏
destructive[dis'tr3ktiv]a. 破坏性的
detect[di'tekt]vt. 发现
detectable[di'tekt2bl]a. 易发现的
determine[di't2:min]vt. 确定
determine[di't2:min]vt. 决定；确定
devastate['dev2steit]vt. 破坏
devise[di'vaiz]vi. 设计
devotion[di'v2u62n]n. 忠心
devour[di'vau2]vt. 狼吞虎咽
dial['dai2l]n. 日晷
diameter[dai'9mit2]n. 直径
diameter[dai'9mit2]n. 直径
dictaphone['dikt2foun]n. 口述录音机
dictate[dik'teit]n. 命令，要求
diction['dik62n]n. 措辞；用语
diet['dai2t]n. 饮食,食谱
differentiate[dif2'ren6ieit]vt. 区分，鉴别
diffuse[di'fju:z]vt. 散开；使扩散
digest[di'd7est, 'daid7est]vt. 消化
digestion[di'd7est62n]n. 消化
dilemma[di'lem2]n. 进退两难之境
dilute[dai'lut]vt. 稀释
dime[daim]n. 一角
dimension[di'men62n]n. (常用复数)面积；规模
dimension[di'men62n]n. 特点；方面
dimensional[]a. 维
dinosaur['dain2s0:]n. 恐龙
direct[di'rekt]vt. 直接(吹风)；指引
directive[di'rektiv]n. 指示，命令
dirt[d2:t]n. 泥土
disadvantage[dis2d'va:ntid7]n. 缺点
disaster[di'za:st2]n. 灾难
disastrous[di'za:str2s]a. 灾难性的
discard[dis'ka:d]vt. 丢弃，抛弃
discern[di's2:n]vt. 看出；识别
discernible[]a. 看得清的；辨别得出的
discerning[]a. 有识别力的
discharge[dis't6a:d7]vt. 释放；发射
disciple[di'saipl]n. 学徒；弟子
discipline['disiplin]n. 学科＃* 纪律，vt. 训练；处罚
discontent['disk2n'tent]n. 不满
discount['diskaunt]vt. 不信，不考虑，怀疑地看待
discouraging[dis'k3rid7i8]a. 令人泄气的
disguise[dis'gaiz]n. 伪装；假扮
disgust[dis'g3st]n. 恶心
disintegrate[dis'intigreit]vi. 瓦解，分裂
disinterest[dis'intrist]n. 无兴趣；冷漠
dismal['dizm2l]a. 阴沉的，忧郁的
dismemberment[]n. 瓜分
dispense[dis'pens]vt. 分配
dispersal[di'sp2:sl]n. 分散；疏散
disperse[dis'p2:s]vi. 分散
displacement[dis'pleism2nt]n. 移置；移位
display[dis'plei]n. 展现
disposal[dis'p2uz2l]n. 处理；处置
dispute[dis'pju:t]n. 争论；争端
disregard['disri'ga:d]vt. 不理会；漠视
dissenter[di'sent2]n. 反对者
dissolve[di'z0lv]vt. 溶解
distasteful[dis'teistful]a. 不合口味的；令人反感的
distinct[dis'ti8kt]a. 明显的；清楚的
distinction[dis'ti8k62n]n. 著名，荣誉；区分，辨别
distinctive[dis'ti8ktiv]a. 特别的；独具一格的
distinguish[dis'ti8gwi6]vi. 区别；辨别
distorted[]a. 扭曲的；被歪曲的
distribution[distri'bju:62n]n. 分布
ditch[dit6]n. 水沟
dive[daiv]vi. 潜入
diverge[dai'v2:d7]vi. 分离；分叉
divergent[dai'v2:d72nt]a. 叉开的；岐异的
diverse[dai'v2:s]a. 多种多样的；不同的
diversify[d2'v2:s2fai]vt. 使多样化
diversity[dai'v2:siti]n. 多样性；差异
divert[dai'v2:t]vt. 转移
division[di'vi72n]n. 除法
divorce[di'v0:s]vt. 离婚
dizzy['dizi]vt. 使头昏眼花
doctrine['d0ktrin]n. 教条；学说
document['d0kjum2nt]n. 文件，vt. 记述性地描述
documentation[d0kjumen'tei62n]n. 文献资料
doggedly['d0gidli]ad. 顽强地
dolphin['d0lfin]n. 海豚
domain[d2'mein]n. 领土；领域
domestic[d2'mestik]a. (动物的)非野生的，驯养的
dominance['d0min2ns]n. 优势，最高位置
dominant['d0min2nt]a. 主要的
dominate['d0mineit]vt. 占主导地位
domination[d0mi'nei62n]n. 主宰，统治
don[d0n]vt. 披上；穿上
donation[dou'nei62n]n. 捐赠
dot[d0t]n. 点
drag[dr9g]vt. 拖
drain[drein]vt. 抽干(水)
drainage['dreinid7]n. 流域；排水系统；下水道
drama['dra:m2]n. 戏剧性场面(情景)
dramatic[dr2'm9tik]a. 富有戏剧性的
dramatically[dr2'm9tikli]ad. 显著的；戏剧性的
drape[dreip]vi. 呈褶状垂下
draw[dr0:]vt. 吸引
drawback['dr0:b9k]n. 缺陷
dread[dred]a. 令人敬畏的
drift[drift]vi. 游荡
drift[drift]vi. 漂流
drill[dril]vt. 钻探，vi. 操练，练习
drip[drip]vi. 滴水；溢出
droplet['dr0plit]n. 微滴
drugstore['dr3gst0:]n. 杂货店
dubious['dju:bj2s]a. 怀疑的
duct[d3kt]n. 管；输送管
ductless['d3ktlis]a. 无输送管的
due[dju:]n. (常作dues)税；应缴税
duke[dju:k]n. 公爵
dump[d3mp]vt. 倾倒
dupe[dju:p]n. 被蒙骗者；易受骗的人
durable['dju2r2bl]a. 耐用的
dwarf[dw0:f]n. 侏儒星
dwell[dwel]vi. 居住
dwelling['dweli8]n. 住所
dye[dai]n. 染料
dynamic[dai'n9mik]a. 动态的；有活力的
eagle['i:gl]n. 鹰
earnestness['2:nistnis]n. 诚挚
earthenware['2:42nw/2]n. 陶器
eccentric[ik'sentrik]a. 古怪的
eclipse[i'klips]n. (日，月)食
eclipse[i'klips]vt. 掩盖...的重要性；使暗淡
ecological[ek2'l0d7ik2l]a. 生态的；生态学的
ecologist[i'k0l2d7ist]n. 生态学家
ecologist[i'k0l2d7ist]n. 生态学家
ecology[i(:)'k0l2d7i]n. 生态学
ecosystem['i:kousist2m]n. 生态系统
edible['edibl]a. 可以吃的
edition[i'di62n]n. 版
editorial[edi't0:ri2l]n. 社会；重要评论
eerily[]ad. 神秘地，离奇地
effect[i'fekt]n. 效果
effective[i'fektiv]a. 有效的
elaborate[i'l9b2rit]a. 复杂的vt. 精心制做，详述
electrocardiogram[]n. 心电图
electroencephalogram[]n. 脑电图
electromagnetic[i'lektr2um9g'netik]a. 电磁的
elegance['elig2ns]n. 典雅；雅致
elementary[eli'ment2ri]a. 基础的；初级的
elevate['eliveit]vt. 提高，上升
elevation[eli'vei62n]n. 提高；高度
elevator['eliveit2]n. 电梯
elicit[i'lisit]vt. 引起
eligible['elid72bl]a. 有资格当选的；合适的
eliminate[i'limineit]vt. 取消
elixir[i'liks2]n. 精华；长生不老药
eloquent['el2kw2nt]a. 生动逼真的；雄辩的；富于表情的
elusive[i'lu:siv]a. 难以表达(捉摸)的；令人困惑的；逃避的
emanate['em2neit]vi. 发出；散发
emancipate[i'm9nsipeit]vt. 解放
embody[im'b0di]vt. 体现， 包含
embroidery[im'br0id2ri]n. 绣花；刺绣品
embryo['embri2u]n. 胚
emergence[i'm2:d72ns]n. 浮现；出现
eminence['emin2ns]n. 卓越；显赫；(此处喻指高处)
emotional[i'm2u62nl]a. 感情的
empire['empai2]n. 帝国
employ[im'pl0i]vt. 使用
enactment[i'n9ktm2nt]n. 制订，通过
encase[in'keis]vt. 围住，包起；把...装入箱内
enchantment[in't6a:ntm2nt]n. 魔法；陶醉，狂喜
encircle[in's2:kl]vt. 环绕
encompass[in'k3mp2s]vt. 包括
encounter[in'kaunt2]n. 遭遇,vt. 受到；碰到
encroachment[in'krout6m2nt]n. 侵占
endear[in'di2]vt. 使受喜爱
endeavor[in'd/v2]n. 努力,事业,vi. 试图；努力
endocrine[endou'krain]n. 内分泌
endocrinology[endoukri'n0l2d7i]n. 内分泌学
endotherm[]n. 温血动物
endurance[in'dju2r2ns]n. 耐力
enforce[in'f0:s]vt. 实施，使生效
engage[in'geid7]vt. 施展；吸引；占用(时间，精力等)
enhance[in'ha:ns]vt. 增加
enlargement[]n. 扩大
Enlightenment[]n. 启蒙运动
enormous[i'n0:m2s]a. 巨大的
enroll[in'r2ul]vt. 报名参加
ensure[in'6u2]vt. 保证给予；保证
entail[in'teil]vt. 使成为必要；必须包括
enterprise['ent2praiz]n. 企业
entertainment[ent2'teinm2nt]n. 娱乐
enthusiasm[in'4ju:zi9z2m]n. 热情；激情
enthusiastic[in4ju:zi'9stik]a. 热情的
entrench[in'trent6]vt. 保证；确立
entry['entri]n. 参加比赛的人(或物)
envelope['env2l2up]n. 外壳,vt. 笼罩
envision[en'vi72n]vt. 预测；想象
enzyme['enzaim]n. 酶
Eocene['i:2si:n]a. 始新世的
eohippus['i:ou'hip2s]n. (动)始祖马
eons[]n. (aeon)极长时期，万古；千万年
ephemeral[i'fem2r2l]a. 瞬息的
epic['epik]n. 史诗
episode['epis2ud]n. 片段；情节
equator[i'kweit2]n. 赤道
equilibrium[i:kwi'libri2m]n. 平衡
equivalent[i'kwiv2l2nt]n. 相等物；等值
era['i2r2]n. 时代
erect[i'rekt]vt. 建造；建立
erode[i'r2ud]vt. 削弱；腐蚀
erosion[i'r2u72n]n. 侵蚀
erupt[i'r3pt]vi. 喷出
escalator['esk2leit2]n. 自动扶梯
esoteric[es2u'terik]a. 秘传的
essence['esns]n. 本质；实质
establish[is't9bli6]vt. 建立
established[]a. 已移植生长的；已被确认的
estimate['estimit, 'estimeit]vt. 估计
etch[et6]vt. 蚀刻；刻划
etching['et6i8]n. 蚀刻；蚀刻画
eternal[i't2:nl]a. 永恒的
ethics['e4iks]n. 道德体系，行为准则
ethnic['/4nik]a. 种族的
evaluate[i'v9ljueit]vt. 评价
evaporate[i'v9p2reit]vt. 使蒸发，挥发
evaporation[iv9p2'rei62n]n. 蒸发
eventually[i'ventju2li]ad. 最终地
everlasting[ev2'la:sti8]a. 永恒的；永久的
evoke[i'v2uk]vt. 引起，唤起
evolution[i:v2'lju:62n]n. 进化
evolve[i'v0lv]vt. 形成；演化
exacting[ig'z9kti8]a. 严厉的，苛求的
exaggerate[ig'z9d72reit]vt/vi. 夸大
excavation[eksk2'vei62n]n. 挖掘
exceed[ik'si:d]vt. 超过
exceedingly[ik'si:di8li]ad. 极端地；非常
excel[ik'sel]vi. 突出；超常
exceptional[ik'sep62nl]a. 异常的，例外的
excess[ik'ses, 'ekses]n. 过多的量；超越
exclude[iks'klu:d]vt. 排斥
exclusive[iks'klu:siv]a. 独有的
executive[ig'zekjutiv]n. 行政主管人员
exemplary[ig'zempl2ri]a. 模范的
exemplify[ig'z2mplifai]vt. 例示；例证
exert[ig'z2:t]vt. 产生影响
exhibit[ig'zibit]vt. 展览；展出
exhilarating[ig'zil2reiti8]a. 使人高兴的；令人振奋的
exocrine['eks2krain]n. 外分泌
exotic[ig'z0utik]a. 奇异的；外(国)来的
expand[iks'p9nd]vi. 扩展
expansion[iks'p9n62n]n. 扩张
expedition[ekspi'di62n]n. 探险；远征
expenditure[iks'pendit6]n. 花费
explicit[iks'plisit]a. 明确的
exploit['ekspl0it, iks'pl0it]vt. 利用；开发
exploration[ekspl0:'rei62n]n. 探索
explosion[iks'pl2u72n]n. 爆炸
explosive[iks'pl2usiv]n. 炸药
export[eks'p0:t, 'eksp0:t]vt. 输出
exposed[iks'p2uzd]a. 暴露的；无遮蔽的
exposure[iks'p2u72]n. 暴露；显露
extend[iks'tend]vi. 延伸
extensive[iks'tensiv]a. 广泛的
extensively[iks'tensivli]ad. 广泛地；过度地
extent[iks'tent]n. 程度；范围
exterior[eks'ti2ri2]a. 外部的；外表的
external[eks't2:nl]a. 外部的
externally[ek'st2:n2li]ad. 外部；外表
extinct[iks'ti8kt]a. 灭绝
extinction[iks'ti8k62n]n. 灭绝
extra['ekstr2]a. 额外的；多余的
extract[iks'tr9kt, 'ekstr9kt]vt. (费力地)取出；提炼
extremity[iks'tremiti]n. 末端；尽头
eyelid['ailid]n. 脸
eyewitness['ai'witnis]n. 证人
fabric['f9brik]n. 结构；构造
facade[f2's1:d]n. 正面
facelift[]n. 改建
facet['f9sit]n. 面；方面
facilitate[f2'siliteit]vt. 促进；使便利
facility[f2'siliti]n. 设备；便利
facsimile[f9k'simili]n. 摹本
factor['f9kt2]n. 因素
faculty['f9k2lti]n. (任何学校的)全体教员
Fahrenheit['f9r2nhait]a. 华氏的；华氏温度计的
faint[feint]a. 浅淡的
faintly['feintli]ad. 微弱地；模糊地
fair[f/2]n. 集市
fall[f0:l]vi. 衰落
fame[feim]n. 名声
famed[feimd]a. 有名的，著名的
fanatical[f2'n9tik2l]a. 狂热的；入迷的
fancy['f9nsi]a. 昂贵的；花哨的
farce[fa:s]n. 笑剧
farm[fa:m]vt. 饲养；耕种
fascinate['f9sineit]v. 迷住，强烈的吸引住
fashion['f962n]n. 时髦, 方式,vt. 把...塑造成；制作
fatal['feitl]a. 致命的
fate[feit]n. 命运
fatigue[f2'ti:g]n. 疲劳
faucet['f0:sit]n. 水龙头
fauna['f0:n2]n. (复数faunas/faunae)动物群
favor['feiv2]vt. 有利于，有助于；赞同
favorable['feiv2r2bl]a. 称赞的
fear[fi2]vt. 担心；忧虑
fearsome['fi2s2m]a. 吓人的；可怕的
feat[fi:t]n. 技艺；技能；功绩
feathery['fe52ri]a. 羽状的
feature['fi:t62]n. 特征；特点,vt. 以...为特色, 描绘
federal['fed2r2l]a. 联邦的
fell[fel]vt. 弄倒
fellowship['fel2u6ip]n. 奖学金；研究员的职位
felt-padded[]a. 有毡垫的
female['fi:meil]a. 女性的
feminist['fem2nist]a. 主张男女平等的；女权主义的
ferromagnetic[feroum9g'netik]a. 铁磁的
fertilize['f2:tilaiz]vt. 使受精
fervor['f2:v2]n. 热情；热诚
feud[fju:d]n. 长期不和
fiber['faib2]n. 纤维
fiction['fik62n]n. 虚构；小说
field[fi:ld]n. 领域
fieldstone['fi:ldstoun]n. 大卵石
fieldwork[]n. 现场考古工作
figure['fig2]n. 人物, 形状,vi. 计算
film[film]vt. 拍摄,n.胶卷*
filmy['filmi]a. 朦胧的；薄膜似的
filter['filt2]vi. 渗入；过滤
fin[fin]n. 鳍
finance[fai'n9ns, fi-]vt. 供资金给；筹措资金
find[faind]n. 发现
finding[faindi8]n. (常用复数)发现
finy[]a. 极小的
fitness[fitnis]n. 适应性
fix[fiks]vt. 规定
flagella[]n. (flagellum的复数)鞭 毛虫
flair[fl/2]n. 洞察力，天才
flamboyant[fl9m'b0i2nt]a. 光彩夺目的；灿烂的；火焰似的
flannel['fl9nl]n. 绒布
flash[fl96]vi. 闪光，闪耀
flatcar['fl9tk1:]n. 平板车
flatten['fl9tn]vt. 把...弄平
flee[fli:]vi. 逃离
flexibility[fl/ks2'bil2ti]n. 灵活性
flicker['flik2]vi. 闪烁
float[fl2ut]vi. 漂浮
flock[fl0k]vi. 蜂拥，群集，n. 鸟群
flood[fl3d]vt. 淹灭
flora['fl0:r2]n. (复数floras/florae)植物群
florist['fl0:rist]n. 花商，种花者
flourish['fl3ri6]vi. 兴旺， 繁荣
flow[fl2u]vi. 来自...的结果
flu[flu:]n. (influenza的缩写)流感
fluctuate['fl3ktjueit]vi. 波动
fluctuation[fl3ktju'ei62n]n. 波动
fluffy['fl3fi]a. 蓬松的；绒毛状的
fluid['flu(:)id]n. 液；流体
fluorine['flu2ri:n]n. 氟
flute[flu:t]n. 笛子
flyspeck['flaispek]n. 小点；小缺点
focus['f2uk2s]n. 焦点；注意力
foghorn['f0gh0:n]n. 雾角
fold[f2uld]vt. 折叠
foliage['f2uliid7]n. (总称)叶
folklore['foukl0:]n. 民间看法；民俗，民间传说
folkloric[]a. 民间传说的；民俗的
folly['f0li]n. 愚蠢
footnote['futn2ut]n. 脚注
footprint['futprint]n. 脚印
foray['f0:rei]n. 初步的尝试；突袭
forbearance[f0:'b/2r2ns]n. 克制；宽容
forbidding[f2'bidi8]a. 令人生畏的，险恶的，难以靠近(或通过)的
forefather['f0:fa:52]n. (常用复数)祖先
foresee[f0:'si:]vt. 预见
foresight['f0:sait]n. 远见
forestall[f0:'st0:l]vt. 抢在...之前采取行动；预先阻止
forge[f0:d7]v. 伪造(货币，文件等)；编造
formalize['f0:mlaiz]vt. 使形式化；使程序化
formula['f0:mjul2]n. (复数formulas/formulae)公式
fort[f0:t]n. 要塞；城堡
fortify['f0:tifai]vt. 增强
fossil['f0sl]n. 化石
fossilize['f0silaiz]vt. 使成化石
foster['f0st2]vt. 培养；促进；养育
foul[faul]a. 难闻的，恶臭的
foundation[faun'dei62n]n. 基础， 机构；基金(会)
fraction['fr9k62n]n. 部分
fragile['fr9d7ail]a. 易碎的， 脆弱的
fragment['fr9gm2nt]n. 片段；碎片
fragrance['fr9gr2ns]n. 香味
frame[freim]n. 构架
framework['freimw2:k]n. 结构
fray[frei]v. 磨损；摩擦
free-wheeling[]a. 随心所欲的，不受约束的
frequent['fri:kw2nt]vt. 常到
fresco['fresk2u]vt. 作湿壁画于
freshwater[]n. 淡水
friction['frik62n]n. 摩擦
frigid['frid7id]a. 死板的；呆板的，寒冷的
frisky['friski]a. 活蹦乱跳的
frivolity[fri'v0liti]n. 轻浮；轻薄
fruitless['fru:tlis]a. 无结果的
fuel[fju2l]n. & v. (加)燃料
fulfil[ful'fil]vt. 实现；满足
fumigate['fju:migeit]vt. 烟熏；熏蒸
function['f38k62n]n. 功能；作用，vi. 起作用
fundamental[f3nd2'mentl]a. 基本的
funding[]n. 资金；基金
fungus['f38g2s]n. 真菌
funnel['f3nl]n. 漏斗；漏斗形物，vt. 传送；运送
fur[f2:]n. 毛，毛皮
furnace['f2:nis]n. 炉子
furnishing[]n. 装饰品
furniture['f2:nit62]n. 家具
fuse[fju:z]vt. 熔化；交融
futility[fju:'tiliti]n. 无用；无意义
galaxy['g9l2ksi]n. 星系；(G-)银河系
gallery['g9l2ri]n. 美术馆
gallop['g9l2p]vi. (马等)飞跑
gambit['g9mbit]n. (常指带风险的)策略；弃兵局(指国际象棋开局让棋法)
gamble['g9mbl]v. 赌博
gang[g98]n. 群
gap[g9p]n. 空白
garb[ga:b]n. 装束
gateway['geitwei]n. 通道
gender['d7end2]n. 性别
genderless[]a. 无性的
generate['d7en2reit]vt. 生殖，发生(电，热，光，力等)
generosity[d7en2'r0siti]n. 胸怀宽阔；慷慨大方
generous['d7en2r2s]a. 大量的；慷慨的
genetic[d72'netik]a. 基因的；遗传的
genius['d7i:nj2s]n. 天才；天赋
genre[71:8r]n. 类型；体裁
gentility[d7/n'til2ti]n. 高贵的出身
gentle['d7entl]a. 温和的
gentlemanly[]a. 有绅士风度的
geologic[]a. 地质的
geologist[d7i'0l2d7ist]n. 地质学家
geometric[d7i2'm/tik]a. 几何的，几何形状的
geometrically[d7i2'metrikli]ad. 呈几何图形地
ghost[g2ust]n. 鬼魂
giant['d7ai2nt]n. 巨物；巨人，a. 巨大的
gibe[d7aib]vi. 嘲笑
gifted['giftid]a. 有天赋的
gingham['gi82m]a. 花格方布的
given['givn]prep. 考虑到
glacial['glei62l]a. 冰的
glacier['gl9sj2]n. 冰川；冰河
glamorous['gl9m2r2s]a. 富于刺激的，富的魅力的
gland[gl9nd]n. 腺
glandular['gl9ndjul2, -d72l2]a. 腺的
glare[gl/2]n. 耀眼的光
glaze[gleiz]n. 釉
glean[gli:n]vt. 收集(资料)；探明
glide[glaid]vi. 滑动
glimpse[glimps]n.  一瞥,一闪
global['gl2ub2l]a. 完整的；全球的
glow[gl2u]vi. 发光
glue[glu:]n. 胶水，vt. 用胶粘
gnaw[n0:]vi. 咬；啃
golly['g0li]int. 天哪
gospel['g0sp2l]n. 信条；［常作G-］［基督教］福音
gouache[gu'a:6]n. 树胶水彩画
gourd[gu2d]n. 葫芦
graceful['greisful]a. 优雅的
gradation[grei'dei62n]n. (颜色等的)层次
grade[greid]vt. 给...打分
grain['grein]n. 颗粒
gram-calorie[]克卡
grandeur['gr9nd72]n. 伟大；壮丽
grant[gra:nt]vt. 授予；同意
grasshopper['gra:sh0p2]n. 蚂蚱
grassland['gra:sl9nd]n. 草场，牧场
gratuitous[gr2'tjuit2s]a. 无缘无故的；免费的
gravitational[gr9vi'tei62nl]a. 吸引力的；引力作用的
gravity['gr9viti]n. 重力；引力
greedy['gri:di]a. 贪婪的
grind[graind]vt. 磨制
grit[grit]n. 勇气，坚毅；砂子
groom[gru(:)m]vt. 修整，照料；梳毛；打扮
grope[gr2up]vi. 暗中摸索；摸索
guarantee[g9r2n'ti:]vt. 保证；担保
guideline[]指导
gunfire['g3nfai2]n. 炮火
gush[g36]vi. 喷；涌
gymnastic[d7im'n9stik]a. 似体操的
habitat['h9bit9t]n. 日常生活之地，栖息地
hacienda['h9si'end2]n. 庄园；庄园住宅
hail[heil]n. 冰雹，vt. 欢迎
hairdo['h/2du:]n. 发型
hallmark[]n. 标志，特征
halt[h0:lt]vt. 停止
hammer['h9m2]n. 音锤
hamper['h9mp2]vt. 妨碍，阻碍
handicap['h9ndik9p]n. 残疾；障碍
handily['h9ndili]ad. 轻易地；灵巧地
handle['h9ndl]vt. 处理
handsomely['h9ns2mli]ad. 相当大地，可观地
hanker['h98k2]vi. 渴望，热切希望
haphazardly[]ad. 随意地；偶然地
hardware['ha:dw/2]n. (总称)金属器材
harem['her2m]n. 由一群雄性动物支配的，一群雌性动物
harmony['ha:m2ni]n. 和声
harness['ha:nis]n. 马具，vt. 应用
harpsichord['harpsik0rd]n. 拨弦古钢琴
harvest['ha:vist]n. 收获
hatch[h9t6]vt. 孵
hatchery['h9t62ri]n. 育种站
hatchet['h9t6it]n. 短柄小斧
haunt[h0:nt]n. 常去的地方
hazard['h9z2d]n. 危险
head[hed]vt. 标题为
hearing['hi2ri8]n. 听觉
heat[hi:t]vt. 加热
heighten['haitn]vt. 提高
helium['hi:li2m]n. 氦
hemlock['heml0k]n. 铁杉；常青树
herald['her2ld]vt. 预示...的来临，欢迎
herculean['h2:kju'li:2n]a. 非常大的；大力神的
heritage['heritid7]n. 遗产；传统
hexagon['heks2g0n]n. 六边形
hibernation[haib2'nei62n]n. 冬眠
hide[haid]n. 皮，vt.剥...皮
hierarchy['hai2ra:ki]n. 等级；范围
high-concentration[]高强度
highlight['hailait]vt. 突出，强调
highly['haili]ad. 高度地
hillside['hil'said]n. 山坡
hind[haind]a. 后面的
hinder['hind2, 'haind2]vt. 阻碍
hippopotamus[hip2'p0t2m2s]n. 河马
Hispanic[his'p9nik]a. 拉丁美洲的；西班牙的
hit[hit]vt. 到达，n. 风行一时的作品
hive[haiv]n. 蜂巢
hold[h2uld]vt. 主张；坚持， 认为
hold[h2uld]vt. 包含，担任，主张；认为
hollow['h0l2u]vt. 掏空
home-grown['houm'groun]土生土长的
homely['h2umli]a. 普通的；无饰的
homeotherm['houmi242:m, 'h0mi-]n. 恒温动物
hominid['h0minid]n. 人种
homogeneous[h0m2'd7i:nj2s]a. 同种类的；相同特征的
honeycomb['h3nik2um]n. 蜜蜂巢
hook-like[]钩状的
horde[h0:d]n. (贬)群
horizon[h2'raizn]n. 范围，眼界；地平线
hormonal[h0:'mounl]a. 激素的
hormone['h0:moun]n. 荷尔蒙；激素
horn[h0:n]n. 角
horsefly['h0:sflai]n. 马蝇；虻
hospitable['h0spit2bl]a. 宜人的，有利的；好客的
hostile['h0stail]a. 不利的；怀敌意的
house[haus]vt. 可容纳
hover['h0v2]vi. 盘旋；彷徨
hue[hju:]n. 颜色
hum[h3m]n. 轰鸣声
humanitarian[hju(:)'m9nit/2ri2n]n. 人道主义者，慈善家
humble['h3mbl]a. 卑下的
humid['hju:mid]a. 潮湿的
humidity[hju:'miditi]n. 潮湿；湿度
humiliate[hju(:)'milieit]vt. 羞辱
hump[h3mp]n. 峰；驼背
hydra['haidr2]n. 水螅
hydrogen['haidrid72n]n. 氢
hygiene['haid7i:n]n. 卫生
hypothesis[hai'p04isi:z]n. 假设；假说
hypothesize[hai'p042saiz]vt. 假设，假定
hypothetical['haip2'4etikl]a. 假设的
iceberg['aisb2:g]n. 冰山
ichthyosaur['ik4i2s0:]n. 鱼龙
icicle['aisikl]n. 冰柱
iconographic[ai'k0n2'gr9fik]a. 肖像画法；肖像学
identical[ai'dentik2l]a. 相等的，一致的
identifiable[]a. 可证明是同一的；可识别的
identification[aidentifi'kei62n]n. 确认；识别
identify[ai'dentifai]vt. 识别；鉴别
identity[ai'dentiti]n. 同一性；特性
ideology[aidi'0l2d7i]n. 意识形态
idiom['idi2m]n. 风格；特色；习语，成语
idiosyncracy[]n. 独特风格；(个人特有的)气质
idleness['aidlnis]n. 懒散
idyllic[ai'dilik]a. 田园诗般的
ignorance['ign2r2ns]n. 无知，愚昧
ignore[ig'n0:]vt. 忽视；不理
illuminate[i'lju:mineit]vt. 阐明，解释；照明
illusion[i'lju:72n]n. 幻觉
illustrate['il2streit]vt. 举例或以图表说明
illustrate['il2streit]vt. (用图或例子)说明，表明
illustration[il2s'trei62n]n. 实例；说明
illustrator['il2streit2]n. 插图画家
image['imid7]n. 图像，形象
imagist['imid7ist]n. & a. 意象派(的)
imitate['imiteit]vt. 模仿
immigrant['imigr2nt]n. 移民
imminent['imin2nt]a. 即将发生的；逼近的
immortal[i'm0:tl]a. 流芳百世的，不朽的
impact['imp9kt]n. 影响，vi. 冲击，撞击
impair[im'p/2]vt. 损害
impair[im'p/2]vt. 削弱，损害
impart[im'pa:t]vt. 传授；给予
impediment[im'pedim2nt]n. 妨碍，阻碍
imperative[im'per2tiv]n. 命令，规则；必要的事
imperceptibly[imp2'septibli]ad. 察觉不到的
impersonate[im'p2:s2neit]vt. 扮演；模仿
implement['implim2nt]n. 工具
implementation[implimen'tei62n]n. 实行；贯彻
implication[impli'kei62n]n. 含义
implicit[im'plisit]a. 内含的；含蓄的
imply[im'plai]vt. 暗示,意味
concept['k0nsept]n. 概念
impose[im'p2uz]vt. 把...强加于；征(税)；加(负担，惩罚等)于
impractical[im'pr9ktikl]a. 不实际的
imprisonment[im'priznm2nt]n. 关押；监禁
improvise['impr2vaiz]vi. 即席创作
impulse['imp3ls]n. 冲动；推动，脉冲
impurity[im'pju2riti]n. 不纯；杂质
inaccessible[in9k'ses2bl]a. 达不到的；不可接近的
inactivity[in9k'tiviti]n. 迟钝
inanimate[in'9nimit]a. 无生命的；无生气的
incandescent[ink9n'desnt]a. 白炽的
incentive[in'sentiv]n. 鼓励；刺激
inclination[inkli'nei62n]n. 倾向
income['ink3m]n. 收入
incorporate[in'k0:p2reit]vt. 合并；包括
incur[in'k2:]vt. 招致；惹起
indefinitely[in'definitli]ad. 不确定地
indenture[in'dent62]vt. 以契约约束学徒，师徒契约
independent[indi'pend2nt]a. 无党派人士
indicate['indikeit]vt. 显示
indication[indi'kei62n]n. 表明
indicator['indikeit2]n. 指示者，指示物
indifference[in'dif2r2ns]n. 冷淡；不感兴趣
indifferent[in'difr2nt]a. 冷淡的
